dyad,proposer,responder,proposer_left,proposer_right,condition,type_trial,session,offer,offer_left,offer_right,experience_proposer
FSR,Frodo,Riet,,Frodo,cons_right,first,3,0.3125,,0.3125,3
FSR,Frodo,Riet,,Frodo,cons_right,first,7,0.125,,0.125,3
FSR,Sandra,Riet,,Sandra,cons_right,first,1,0.3125,,0.3125,3
FSR,Sandra,Riet,,Sandra,cons_right,first,13,0.625,,0.625,3
RST,Riet,Sandra,,Riet,cons_right,first,5,0.5,,0.5,3
RST,Riet,Sandra,,Riet,cons_right,first,9,0.5625,,0.5625,3
RST,Tai,Sandra,,Tai,cons_right,first,3,0.0625,,0.0625,2
RST,Tai,Sandra,,Tai,cons_right,first,15,0.5,,0.5,2
SAT,Azibo,Tai,,Azibo,cons_right,first,7,0.3125,,0.3125,2
SAT,Azibo,Tai,,Azibo,cons_right,first,11,0.375,,0.375,2
SAT,Sandra,Tai,,Sandra,cons_right,first,1,0.5625,,0.5625,2
SAT,Sandra,Tai,,Sandra,cons_right,first,5,0.375,,0.375,2
TSF,Sandra,Frodo,,Sandra,cons_right,first,9,0.3125,,0.3125,1
TSF,Sandra,Frodo,,Sandra,cons_right,first,13,0.375,,0.375,1
TSF,Tai,Frodo,,Tai,cons_right,first,3,0.0625,,0.0625,1
TSF,Tai,Frodo,,Tai,cons_right,first,7,0.1875,,0.1875,1
AFT,Frodo,Azibo,,Frodo,cons_left,second,2,0,,0,2
AFT,Frodo,Azibo,,Frodo,cons_left,second,14,0.4375,,0.4375,2
AFT,Tai,Azibo,,Tai,cons_left,second,4,0.1875,,0.1875,3
AFT,Tai,Azibo,,Tai,cons_left,second,8,0.5,,0.5,3
ARD,Azibo,Dorien,,Azibo,cons_left,second,12,0.9375,,0.9375,1
ARD,Riet,Dorien,,Riet,cons_left,second,2,0,,0,1
ARD,Riet,Dorien,,Riet,cons_left,second,6,0.625,,0.625,1
FRS,Frodo,Shanga,,Frodo,cons_left,second,4,1,,1,1
FRS,Frodo,Shanga,,Frodo,cons_left,second,16,0.125,,0.125,1
FRS,Riet,Shanga,,Riet,cons_left,second,6,0,,0,2
FRS,Riet,Shanga,,Riet,cons_left,second,10,0.5,,0.5,2
FSR,Frodo,Riet,,Frodo,cons_left,second,3,0.4375,,0.4375,3
FSR,Frodo,Riet,,Frodo,cons_left,second,7,0,,0,3
FSR,Sandra,Riet,,Sandra,cons_left,second,1,0.5,,0.5,3
FSR,Sandra,Riet,,Sandra,cons_left,second,13,0.3125,,0.3125,3
RST,Riet,Sandra,,Riet,cons_left,second,5,0.625,,0.625,3
RST,Riet,Sandra,,Riet,cons_left,second,9,0.4375,,0.4375,3
RST,Tai,Sandra,,Tai,cons_left,second,3,0.0625,,0.0625,2
